,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,26.8847006652,9.0,-2.0,1840,1.84782608696,13.0,-3.0,1840
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,28.869047619,10.0,-1.0,2392,1.63043478261,13.0,-1.0,2392
2,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,26.9634455302,15.0,-5.0,2852,2.94530154278,16.0,-1.0,2852
3,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,27.4261603376,9.0,-3.0,2445,1.88139059305,16.0,-2.0,2445
4,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,24.0095087163,9.0,-4.0,1288,1.86335403727,12.0,-2.0,1288
5,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,22.5655767158,7.0,-5.0,2852,2.13884992987,14.0,-2.0,2852
6,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,16.5730337079,7.0,-7.0,368,3.53260869565,11.0,-8.0,368
7,TX,IAH,P,L,20595881,George Bush Intercontinental Houston Airport,Houston,United States,29.9843997955,-95.3414001465,97.0,-6,27.0464963982,9.0,-4.0,1564,1.9820971867,12.0,-1.0,1564
8,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,23.4806629834,10.0,0.0,368,2.17391304348,15.0,0.0,368
9,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,22.8897338403,8.0,-5.0,1328,1.2676056338,15.0,-5.0,1420
10,MN,MSP,P,L,17634273,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.8819999695,-93.2218017578,841.0,-6,30.315969257,6.0,0.0,1196,2.42474916388,14.0,-1.0,1196
11,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,28.547008547,9.0,-2.0,1196,2.09030100334,17.0,2.0,1196
12,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,27.6020174232,9.0,-4.0,2221,1.66591625394,13.0,-2.0,2221
13,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,36.1462728551,6.0,5.0,736,2.58152173913,16.0,0.0,736
14,NY,LGA,P,L,14319924,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21.0,-5,29.5525494277,9.0,-2.0,1012,5.4347826087,19.0,-1.0,1012
15,FL,FLL,P,L,13061632,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599411,-80.1527023315,9.0,-5,23.3376792699,7.0,-6.0,3127,0.799289520426,13.0,0.0,3378
16,MD,BWI,P,L,11738845,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.17539978,-76.66829681,146.0,-5,28.3333333333,7.0,-2.0,1472,1.69836956522,11.0,0.0,1472
17,CA,SAN,P,L,9985763,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,17.0,-8,23.6697247706,5.0,-5.0,552,1.8115942029,15.0,-3.0,552
18,FL,TPA,P,L,9150458,Tampa International Airport,Tampa,United States,27.9755001068,-82.533203125,26.0,-5,33.786407767,5.0,1.0,527,2.46679316888,12.0,-3.0,527
19,OR,PDX,P,L,8340252,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,-8,26.3888888889,5.0,-2.0,368,2.98913043478,12.0,0.0,368
20,CA,OAK,P,M,5506687,Metropolitan Oakland International Airport,Oakland,United States,37.7212982178,-122.221000671,9.0,-8,21.9589257504,7.0,-6.0,644,1.70807453416,11.0,-4.0,644
21,LA,MSY,P,M,5329711,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.9934005737,-90.2580032349,4.0,-6,21.5767634855,5.0,-4.0,736,2.98913043478,11.0,-3.0,736
22,MO,MCI,P,M,5135127,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898,1026.0,-6,27.5092936803,7.0,-2.0,276,2.17391304348,12.0,-2.0,276
23,FL,RSW,P,M,4159215,Southwest Florida International Airport,Fort Myers,United States,26.5361995697,-81.7552032471,30.0,-5,19.0476190476,4.0,-5.0,170,1.76470588235,9.0,-5.0,170
24,OH,CLE,P,M,3916922,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099,791.0,-5,24.0663900415,8.0,-3.0,736,0.815217391304,12.0,-3.0,736
25,SC,MYR,P,S,899859,Myrtle Beach International Airport,Myrtle Beach,United States,33.6796989441,-78.9282989502,25.0,-5,19.5225916454,5.0,-7.0,1197,2.25563909774,10.0,-4.0,1197
26,NJ,ACY,P,S,587967,Atlantic City International Airport,Atlantic City,United States,39.4575996399,-74.5772018433,75.0,-5,25.8064516129,5.0,-3.0,1012,2.37154150198,10.0,-2.0,1012
27,WV,CRW,P,N,225170,Yeager Airport,Charleston,United States,38.3731002808,-81.5932006836,981.0,-5,14.8148148148,3.0,-8.0,27,0.0,10.0,-5.0,27
28,PA,LBE,P,N,181105,Arnold Palmer Regional Airport,Latrobe,United States,40.27590179,-79.40480042,1199.0,-5,20.2429149798,5.0,-7.0,249,1.20481927711,10.0,-10.0,249
29,NY,PBG,P,N,131600,Plattsburgh International Airport,Plattsburgh,United States,44.6509017944,-73.4681015015,234.0,-5,17.9487179487,6.0,-5.5,79,1.28205128205,13.0,1.0,78
30,NY,IAG,P,N,121616,Niagara Falls International Airport,Niagara Falls,United States,43.1072998047,-78.9461975098,589.0,-5,13.9240506329,6.0,-9.0,79,2.53164556962,11.0,-2.0,79
